"uid","username","password","email","phone","status","avatar","role","create_time","update_time"
"18","李明","$2a$10$LiMing","liming2026@163.com","13801010003","1","https://randomuser.me/api/portraits/men/52.jpg","user","1/1/2026 11:45:12","1/1/2026 11:45:12"
"19","王小红","$2a$10$WangXh","wangxh2026@example.com","13801010004","1","https://randomuser.me/api/portraits/women/53.jpg","user","1/1/2026 12:20:33","1/1/2026 12:20:33"
"20","张伟_2026","$2a$10$ZhangWei","zhangwei2026@example.com","13801010005","1","https://randomuser.me/api/portraits/men/54.jpg","user","1/1/2026 14:35:54","1/1/2026 14:35:54"
"21","刘芳芳","$2a$10$LiuFang","liuff@example.com","13801010006","1","https://randomuser.me/api/portraits/women/55.jpg","user","1/1/2026 16:50:21","1/1/2026 16:50:21"
"22","tech_lover","$2a$10$Tech123","techlove@example.com","13801010007","1","https://randomuser.me/api/portraits/men/56.jpg","user","1/1/2026 18:15:42","1/1/2026 18:15:42"
"23","陈静怡","$2a$10$ChenJy","chenjy@example.com","13801010008","1","https://randomuser.me/api/portraits/women/57.jpg","user","1/1/2026 20:30:19","1/1/2026 20:30:19"
"24","夜猫子","$2a$10$NightCat","nightcat@example.com","13801010009","1","https://randomuser.me/api/portraits/men/58.jpg","user","1/1/2026 22:45:37","1/1/2026 22:45:37"
"25","跨年用户","$2a$10$KuaNian","kuanian@example.com","13801010010","1","https://randomuser.me/api/portraits/women/59.jpg","user","1/1/2026 23:58:58","1/1/2026 23:58:58"
"26","周建国","$2a$10$ZhouJg","zhoujg@example.com","13801020001","1","https://randomuser.me/api/portraits/men/60.jpg","user","2/1/2026 08:20:15","2/1/2026 08:20:15"
"27","吴美丽","$2a$10$WuMeili","wumeili@example.com","13801020002","1","https://randomuser.me/api/portraits/women/61.jpg","user","2/1/2026 09:35:42","2/1/2026 09:35:42"
"28","上班族001","$2a$10$Worker1","office001@example.com","13801020003","1","https://randomuser.me/api/portraits/men/62.jpg","user","2/1/2026 10:50:28","2/1/2026 10:50:28"
"29","黄小燕","$2a$10$HuangXy","huangxy@example.com","13801020004","1","https://randomuser.me/api/portraits/women/63.jpg","user","2/1/2026 11:15:33","2/1/2026 11:15:33"
"30","郑成功","$2a$10$ZhengCg","zhengcg@example.com","13801020005","1","https://randomuser.me/api/portraits/men/64.jpg","user","2/1/2026 12:30:47","2/1/2026 12:30:47"
"31","孙小美","$2a$10$SunXm","sunxm@example.com","13801020006","1","https://randomuser.me/api/portraits/women/65.jpg","user","2/1/2026 13:45:12","2/1/2026 13:45:12"
"32","钱多多","$2a$10$QianDd","qiandd@example.com","13801020007","1","https://randomuser.me/api/portraits/men/66.jpg","user","2/1/2026 15:00:35","2/1/2026 15:00:35"
"33","数码达人","$2a$10$Digital","digitalman@example.com","13801020008","1","https://randomuser.me/api/portraits/men/67.jpg","user","2/1/2026 16:20:18","2/1/2026 16:20:18"
"34","李思思","$2a$10$LiSisi","lisisi@example.com","13801020009","1","https://randomuser.me/api/portraits/women/68.jpg","user","2/1/2026 17:35:44","2/1/2026 17:35:44"
"35","程序员老王","$2a$10$CoderW","coderwang@example.com","13801020010","1","https://randomuser.me/api/portraits/men/69.jpg","user","2/1/2026 18:50:59","2/1/2026 18:50:59"
"36","夜班用户","$2a$10$NightJob","nightjob@example.com","13801020011","1","https://randomuser.me/api/portraits/women/70.jpg","user","2/1/2026 21:05:23","2/1/2026 21:05:23"
"37","杨光","$2a$10$YangGuang","yangguang@example.com","13801020012","1","https://randomuser.me/api/portraits/men/71.jpg","user","2/1/2026 22:25:37","2/1/2026 22:25:37"
"38","睡前注册","$2a$10$BeforeSleep","beforesleep@example.com","13801020013","1","https://randomuser.me/api/portraits/women/72.jpg","user","2/1/2026 23:40:15","2/1/2026 23:40:15"
"39","赵敏","$2a$10$ZhaoMin","zhaomin@example.com","13801030001","1","https://randomuser.me/api/portraits/women/73.jpg","user","3/1/2026 08:45:22","3/1/2026 08:45:22"
"40","周五快乐","$2a$10$Friday","friday2026@example.com","13801030002","1","https://randomuser.me/api/portraits/men/74.jpg","user","3/1/2026 09:55:41","3/1/2026 09:55:41"
"41","刘德华粉丝","$2a$10$LiuDehua","liudhfan@example.com","13801030003","1","https://randomuser.me/api/portraits/men/75.jpg","user","3/1/2026 11:10:28","3/1/2026 11:10:28"
"42","周末购物","$2a$10$Weekend","weekendbuy@example.com","13801030004","1","https://randomuser.me/api/portraits/women/76.jpg","user","3/1/2026 12:25:33","3/1/2026 12:25:33"
"43","设计狮","$2a$10$Designer","designer2026@example.com","13801030005","1","https://randomuser.me/api/portraits/women/77.jpg","user","3/1/2026 13:40:47","3/1/2026 13:40:47"
"44","学生党001","$2a$10$Student1","student001@example.com","13801030006","1","https://randomuser.me/api/portraits/men/78.jpg","user","3/1/2026 14:55:12","3/1/2026 14:55:12"
"45","马化云","$2a$10$MaHy","mahy@example.com","13801030007","1","https://randomuser.me/api/portraits/men/79.jpg","user","3/1/2026 15:20:35","3/1/2026 15:20:35"
"46","游戏玩家","$2a$10$Gamer","gamer2026@example.com","13801030008","1","https://randomuser.me/api/portraits/men/80.jpg","user","3/1/2026 16:35:18","3/1/2026 16:35:18"
"47","周迅迷","$2a$10$ZhouXun","zhouxunfan@example.com","13801030009","1","https://randomuser.me/api/portraits/women/81.jpg","user","3/1/2026 17:50:44","3/1/2026 17:50:44"
"48","黄昏注册","$2a$10$DuskReg","duskreg@example.com","13801030010","1","https://randomuser.me/api/portraits/women/82.jpg","user","3/1/2026 18:45:59","3/1/2026 18:45:59"
"49","加班狗","$2a$10$Overwork","overwork@example.com","13801030011","1","https://randomuser.me/api/portraits/men/83.jpg","user","3/1/2026 20:10:23","3/1/2026 20:10:23"
"50","睡前购物","$2a$10$BedShop","bedshop@example.com","13801030012","1","https://randomuser.me/api/portraits/women/84.jpg","user","3/1/2026 22:25:37","3/1/2026 22:25:37"
"51","失眠用户","123","insomnia@example.com","13801030013","1","https://randomuser.me/api/portraits/men/85.jpg","user","3/1/2026 23:50:15","5/1/2026 19:31:38"
"52","周末用户001","$2a$10$Weekend1","weekend001@example.com","13801040001","1","https://randomuser.me/api/portraits/men/86.jpg","user","4/1/2026 09:30:15","4/1/2026 09:30:15"
"53","懒觉睡醒","$2a$10$SleepIn","sleepin@example.com","13801040002","1","https://randomuser.me/api/portraits/women/87.jpg","user","4/1/2026 10:45:42","4/1/2026 10:45:42"
"54","周六购物","$2a$10$SatShop","satshop@example.com","13801040003","1","https://randomuser.me/api/portraits/women/88.jpg","user","4/1/2026 11:20:28","4/1/2026 11:20:28"
"55","胡歌粉丝","$2a$10$HuGeFan","hugefan@example.com","13801040004","1","https://randomuser.me/api/portraits/men/89.jpg","user","4/1/2026 12:15:33","4/1/2026 12:15:33"
"56","咖啡时间","$2a$10$Coffee","coffeetime@example.com","13801040005","1","https://randomuser.me/api/portraits/women/90.jpg","user","4/1/2026 13:40:47","4/1/2026 13:40:47"
"57","周末电影迷","$2a$10$MovieFan","moviefan@example.com","13801040006","1","https://randomuser.me/api/portraits/men/91.jpg","user","4/1/2026 14:55:12","4/1/2026 14:55:12"
"58","学生周末","$2a$10$StudentWk","studentwk@example.com","13801040007","1","https://randomuser.me/api/portraits/men/92.jpg","user","4/1/2026 15:30:35","4/1/2026 15:30:35"
"59","购物狂人","$2a$10$Shopaholic","shopaholic@example.com","13801040008","1","https://randomuser.me/api/portraits/women/93.jpg","user","4/1/2026 16:20:18","4/1/2026 16:20:18"
"60","数码控","$2a$10$DigitalCtrl","digitalctrl@example.com","13801040009","1","https://randomuser.me/api/portraits/men/94.jpg","user","4/1/2026 16:45:44","4/1/2026 16:45:44"
"61","家庭主妇","$2a$10$Housewife","housewife@example.com","13801040010","1","https://randomuser.me/api/portraits/women/95.jpg","user","4/1/2026 17:30:59","4/1/2026 17:30:59"
"62","游戏宅","$2a$10$GameOtaku","gameotaku@example.com","13801040011","1","https://randomuser.me/api/portraits/men/96.jpg","user","4/1/2026 18:15:23","4/1/2026 18:15:23"
"63","周末厨师","$2a$10$WeekendChef","weekendchef@example.com","13801040012","1","https://randomuser.me/api/portraits/men/97.jpg","user","4/1/2026 19:05:37","4/1/2026 19:05:37"
"64","夜店玩家","$2a$10$NightClub","nightclub@example.com","13801040013","1","https://randomuser.me/api/portraits/women/98.jpg","user","4/1/2026 20:25:15","4/1/2026 20:25:15"
"65","周末旅行","$2a$10$WeekendTrip","weekendtrip@example.com","13801040014","1","https://randomuser.me/api/portraits/women/99.jpg","user","4/1/2026 21:40:22","4/1/2026 21:40:22"
"66","深夜用户","$2a$10$LateNight","latenight@example.com","13801040015","1","https://randomuser.me/api/portraits/men/100.jpg","user","4/1/2026 23:55:15","4/1/2026 23:55:15"
"67","周日早晨","$2a$10$SundayAm","sundayam@example.com","13801050001","1","https://randomuser.me/api/portraits/women/101.jpg","user","5/1/2026 08:15:22","5/1/2026 08:15:22"
"68","准备上班","$2a$10$ReadyWork","readywork@example.com","13801050002","1","https://randomuser.me/api/portraits/men/102.jpg","user","5/1/2026 09:30:41","5/1/2026 09:30:41"
"69","周日学习","$2a$10$StudySun","studysun@example.com","13801050003","1","https://randomuser.me/api/portraits/women/103.jpg","user","5/1/2026 10:45:28","5/1/2026 10:45:28"
"70","最后购物","$2a$10$LastShop","lastshop@example.com","13801050004","1","https://randomuser.me/api/portraits/men/104.jpg","user","5/1/2026 11:50:33","5/1/2026 11:50:33"
"71","家庭日","$2a$10$FamilyDay","familyday@example.com","13801050005","1","https://randomuser.me/api/portraits/women/105.jpg","user","5/1/2026 12:35:47","5/1/2026 12:35:47"
"72","午后休闲","$2a$10$Afternoon","afternoon@example.com","13801050006","1","https://randomuser.me/api/portraits/men/106.jpg","user","5/1/2026 14:20:12","5/1/2026 14:20:12"
"73","周日运动","$2a$10$SportSun","sportsun@example.com","13801050007","1","https://randomuser.me/api/portraits/women/107.jpg","user","5/1/2026 16:05:35","5/1/2026 16:05:35"
"74","傍晚用户","$2a$10$EveningUsr","eveningusr@example.com","13801050008","1","https://randomuser.me/api/portraits/men/108.jpg","user","5/1/2026 18:30:18","5/1/2026 18:30:18"
"75","周末结束","$2a$10$WeekendEnd","weekendend@example.com","13801050009","1","https://randomuser.me/api/portraits/women/109.jpg","user","5/1/2026 18:45:44","5/1/2026 21:03:31"
"76","周日夜晚","$2a$10$SunNight","sunnight@example.com","13801050010","1","https://randomuser.me/api/portraits/men/110.jpg","user","5/1/2026 18:46:59","5/1/2026 21:03:34"
"77","明日上班","$2a$10$Tomorrow","tomorrowwork@example.com","13801050011","1","https://randomuser.me/api/portraits/women/111.jpg","user","5/1/2026 18:49:23","5/1/2026 21:03:39"
"78","春天来了","$2a$10$Spring2026","spring2026@example.com","13801060001","1","https://randomuser.me/api/portraits/women/112.jpg","user","6/1/2026 08:30:00","6/1/2026 14:14:28"
"79","冬日暖阳","$2a$10$WinterSun","wintersun@example.com","13801060002","1","https://randomuser.me/api/portraits/men/113.jpg","user","6/1/2026 09:45:00","6/1/2026 14:14:28"
"80","程序猿001","$2a$10$Coder001","coder001@example.com","13801060003","1","https://randomuser.me/api/portraits/men/114.jpg","user","6/1/2026 10:20:00","6/1/2026 14:14:28"
"81","设计狮2026","$2a$10$Design2026","design2026@example.com","13801060004","1","https://randomuser.me/api/portraits/women/115.jpg","user","6/1/2026 11:35:00","6/1/2026 14:14:28"
"82","学生党_06","$2a$10$Student06","student06@example.com","13801060005","1","https://randomuser.me/api/portraits/men/116.jpg","user","6/1/2026 12:50:00","6/1/2026 14:14:28"
"83","177","123","","","1",,"user","6/1/2026 17:13:47","6/1/2026 17:13:47"
"84","科技先锋","$2a$10$TechPioneer","techpioneer@example.com","13801070001","1","https://randomuser.me/api/portraits/men/120.jpg","user","5/1/2026 09:30:00","8/1/2026 17:53:01"
"85","数码控2026","$2a$10$Digital2026","digital2026@example.com","13801070002","1","https://randomuser.me/api/portraits/women/121.jpg","user","5/1/2026 11:45:00","8/1/2026 17:53:01"
"86","游戏发烧友","$2a$10$GameLover","gamelover@example.com","13801070003","1","https://randomuser.me/api/portraits/men/122.jpg","user","5/1/2026 14:20:00","8/1/2026 17:53:01"
"87","设计大师","$2a$10$DesignMaster","designmaster@example.com","13801070004","1","https://randomuser.me/api/portraits/women/123.jpg","user","5/1/2026 16:30:00","8/1/2026 17:53:01"
"88","编程小能手","$2a$10$CodeMaster","codemaster@example.com","13801070005","1","https://randomuser.me/api/portraits/men/124.jpg","user","5/1/2026 18:45:00","8/1/2026 17:53:01"
"89","AI探索者","$2a$10$AIExplorer","aiexplorer@example.com","13801070006","1","https://randomuser.me/api/portraits/women/125.jpg","user","6/1/2026 08:15:00","8/1/2026 17:53:01"
"90","数据科学家","$2a$10$DataScientist","datascientist@example.com","13801070007","1","https://randomuser.me/api/portraits/men/126.jpg","user","6/1/2026 10:30:00","8/1/2026 17:53:01"
"91","影视剪辑师","$2a$10$VideoEditor","videoeditor@example.com","13801070008","1","https://randomuser.me/api/portraits/women/127.jpg","user","6/1/2026 12:45:00","8/1/2026 17:53:01"
"92","音乐制作人","$2a$10$MusicProducer","musicproducer@example.com","13801070009","1","https://randomuser.me/api/portraits/men/128.jpg","user","6/1/2026 15:00:00","8/1/2026 17:53:01"
"93","创业青年","$2a$10$StartupYouth","startupyouth@example.com","13801070010","1","https://randomuser.me/api/portraits/women/129.jpg","user","6/1/2026 17:20:00","8/1/2026 17:53:01"
"94","旅行摄影师","$2a$10$TravelPhoto","travelphoto@example.com","13801070011","1","https://randomuser.me/api/portraits/men/130.jpg","user","7/1/2026 09:00:00","8/1/2026 17:53:01"
"95","外语学习者","$2a$10$LanguageLearner","languagelearner@example.com","13801070012","1","https://randomuser.me/api/portraits/women/131.jpg","user","7/1/2026 11:15:00","8/1/2026 17:53:01"
"96","股票分析师","$2a$10$StockAnalyst","stockanalyst@example.com","13801070013","1","https://randomuser.me/api/portraits/men/132.jpg","user","7/1/2026 13:30:00","8/1/2026 17:53:01"
"97","健身教练","$2a$10$FitnessCoach","fitnesscoach@example.com","13801070014","1","https://randomuser.me/api/portraits/women/133.jpg","user","7/1/2026 15:45:00","8/1/2026 17:53:01"
"98","美食博主","$2a$10$FoodBlogger","foodblogger@example.com","13801070015","1","https://randomuser.me/api/portraits/men/134.jpg","user","7/1/2026 18:00:00","8/1/2026 17:53:01"
"99","早起鸟","$2a$10$EarlyBird","earlybird@example.com","13801070016","1","https://randomuser.me/api/portraits/women/135.jpg","user","8/1/2026 07:30:00","8/1/2026 17:53:01"
"100","夜猫子","$2a$10$NightOwl","nightowl@example.com","13801070017","1","https://randomuser.me/api/portraits/men/136.jpg","user","8/1/2026 10:45:00","8/1/2026 17:53:01"
"101","读书人","$2a$10$BookReader","bookreader@example.com","13801070018","1","https://randomuser.me/api/portraits/women/137.jpg","user","8/1/2026 12:00:00","8/1/2026 17:53:01"
"102","电影迷","$2a$10$MovieFan","moviefan@example.com","13801070019","1","https://randomuser.me/api/portraits/men/138.jpg","user","8/1/2026 14:15:00","8/1/2026 17:53:01"
"103","最后注册","$2a$10$LastRegister","lastregister@example.com","13801070020","1","https://randomuser.me/api/portraits/women/139.jpg","user","8/1/2026 16:30:00","8/1/2026 17:53:01"
"104","88","123456789","18837215930@placeholder.local","11111111111","1","https://randomuser.me/api/portraits/men/1.jpg","user","11/1/2026 17:15:28","13/1/2026 00:47:41"
"105","小样","xzq717XZQ","11111111111@qq.com","","1","https://randomuser.me/api/portraits/men/1.jpg","user","12/1/2026 22:49:20","13/1/2026 00:47:03"
"106","trigger_test","test123456","test@example.com","13800138111","1","default_avatar.jpg","user","13/1/2026 00:43:36","13/1/2026 00:43:36"
"107","小包","xzq717XZQ","1277437007@qq.com","","1","https://randomuser.me/api/portraits/men/1.jpg","user","13/1/2026 00:54:21","13/1/2026 19:14:03"
"108","131313","123456789","null@yyy.com","","1","https://randomuser.me/api/portraits/men/1.jpg","user","13/1/2026 16:39:30","13/1/2026 18:20:40"
"109","888","123456789","196778@qq.com","1111111111","1","https://randomuser.me/api/portraits/men/1.jpg","user","13/1/2026 17:28:48","13/1/2026 23:43:40"
"110","xlpp","123456","196056@qq.com","17852022593","1","https://randomuser.me/api/portraits/men/1.jpg","user","13/1/2026 19:16:01","13/1/2026 23:43:37"
"111","midnight_shopper","midnight123","midnight@example.com","13800138201","1","default_avatar.jpg","user","14/1/2026 00:45:30","13/1/2026 23:36:06"
"112","night_owl_26","nightowl2026","nightowl@gmail.com","13800138202","1","avatar2.jpg","user","14/1/2026 01:20:15","13/1/2026 23:36:06"
"113","dawn_rider","dawnrider456","dawnrider@hotmail.com","13800138203","1","avatar3.jpg","user","14/1/2026 03:15:45","13/1/2026 23:36:06"
"114","early_bird_14","earlybird789","earlybird@qq.com","13800138204","1","avatar4.jpg","user","14/1/2026 04:30:20","13/1/2026 23:36:06"
"115","morning_dew","morningdew101","morningdew@163.com","13800138205","1","avatar5.jpg","user","14/1/2026 06:10:35","13/1/2026 23:36:06"
"116","sunrise_buyer","sunrise2026","sunrise@example.com","13800138206","1","avatar6.jpg","user","14/1/2026 07:05:50","13/1/2026 23:36:06"
"117","breakfast_shopper","breakfast123","breakfast@qq.com","13800138207","1","avatar7.jpg","user","14/1/2026 07:45:25","13/1/2026 23:36:06"
"118","rush_hour_user","rushhour456","rushhour@163.com","13800138208","1","avatar8.jpg","user","14/1/2026 08:20:10","13/1/2026 23:36:06"
"119","morning_commuter","commuter789","commuter@example.com","13800138209","1","avatar9.jpg","user","14/1/2026 08:28:30","13/1/2026 23:36:06"
"120","student_morning","student123","student_morning@edu.cn","13800138210","1","student_avatar.jpg","user","14/1/2026 06:45:15","13/1/2026 23:36:06"
"121","campus_shopper","campus456","campus2026@university.edu","13800138211","1","campus_avatar.jpg","user","14/1/2026 07:30:40","13/1/2026 23:36:06"
"122","early_class","class789","earlyclass@school.edu.cn","13800138212","1","class_avatar.jpg","user","14/1/2026 08:15:55","13/1/2026 23:36:06"
"123","midnight_shopper","midnight123","midnight@example.com","13800138201","1","default_avatar.jpg","user","14/1/2026 00:45:30","13/1/2026 23:48:16"
"124","night_owl_26","nightowl2026","nightowl@gmail.com","13800138202","1","avatar2.jpg","user","14/1/2026 01:20:15","13/1/2026 23:48:16"
"125","dawn_rider","dawnrider456","dawnrider@hotmail.com","13800138203","1","avatar3.jpg","user","14/1/2026 03:15:45","13/1/2026 23:48:16"
"126","early_bird_14","earlybird789","earlybird@qq.com","13800138204","1","avatar4.jpg","user","14/1/2026 04:30:20","13/1/2026 23:48:16"
"127","morning_dew","morningdew101","morningdew@163.com","13800138205","1","avatar5.jpg","user","14/1/2026 06:10:35","13/1/2026 23:48:16"
"128","sunrise_buyer","sunrise2026","sunrise@example.com","13800138206","1","avatar6.jpg","user","14/1/2026 07:05:50","13/1/2026 23:48:16"
"129","breakfast_shopper","breakfast123","breakfast@qq.com","13800138207","1","avatar7.jpg","user","14/1/2026 07:45:25","13/1/2026 23:48:16"
"130","rush_hour_user","rushhour456","rushhour@163.com","13800138208","1","avatar8.jpg","user","14/1/2026 08:20:10","13/1/2026 23:48:16"
"131","morning_commuter","commuter789","commuter@example.com","13800138209","1","avatar9.jpg","user","14/1/2026 08:28:30","13/1/2026 23:48:16"
"132","student_morning","student123","student_morning@edu.cn","13800138210","1","student_avatar.jpg","user","14/1/2026 06:45:15","13/1/2026 23:48:16"
"133","campus_shopper","campus456","campus2026@university.edu","13800138211","1","campus_avatar.jpg","user","14/1/2026 07:30:40","13/1/2026 23:48:16"
"134","early_class","class789","earlyclass@school.edu.cn","13800138212","1","class_avatar.jpg","user","14/1/2026 08:15:55","14/1/2026 08:48:16"
"135","张夜明","encrypted_pass_117","zhangyeming@126.com","13611110001","1",,"user","13/1/2025 23:50:05","13/1/2026 23:57:53"
"136","李晚归","encrypted_pass_118","liwangui@gmail.com","13722220002","1",,"user","13/1/2025 23:51:22","13/1/2026 23:57:53"
"137","王梦游","encrypted_pass_119","wangmengyou@163.com","13833330003","1",,"user","13/1/2025 23:52:47","13/1/2026 23:57:53"
"138","陈熬夜","encrypted_pass_120","chenaoye@qq.com","13944440004","1",,"user","13/1/2025 23:53:31","13/1/2026 23:57:53"
"139","赵星空","encrypted_pass_121","zhaoxingkong@edu.cn","13555550005","1",,"user","13/1/2025 23:54:58","13/1/2026 23:57:53"
